CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
471,266,205,3,59,0,0,0,605
387,131,256,6,20,2,1,0,1074
33,17,16,5,20,1,1,0.00415800415800416,481
265,172,93,4,59,1,1,0,826
9,4,5,2,59,0,0,0.00418410041841004,239
491,276,215,3,59,0,0,0,599
659,201,458,5,59,1,1,0.00147492625368732,678
240,132,108,6,59,2,0,0,831
170,94,76,4,59,0,0,0,990
6,1,5,1,141,0,0,0.00288600288600289,693
8,4,4,1,59,0,0,0,272
3,1,2,1,141,0,0,0,211
78,52,26,1,13,1,0,0.00412654745529574,727
173,144,29,4,13,2,0,0.00510855683269476,783
3,1,2,1,141,0,0,0.00571428571428571,350
38,27,11,2,152,1,0,0,191
768,573,195,9,15,3,0,0.00176411290322581,3968
51,34,17,2,152,1,0,0.00301204819277108,332
105,47,58,7,58,2,0,0.00343642611683849,1455
107,53,54,4,59,2,0,0.00766283524904215,261
118,34,84,2,59,1,0,0.00142450142450142,702
223,162,61,9,21,3,0,0.0040045766590389,1748
298,232,66,4,31,1,0,0,1327
240,129,111,4,31,2,0,0.00102040816326531,980
72,45,27,2,59,0,0,0.00137931034482759,1450
111,58,53,6,59,3,0,0.00121359223300971,824
124,74,50,5,59,1,0,0.00271493212669683,1105
253,167,86,6,31,1,0,0.00229885057471264,870
82,65,17,3,27,1,0,0,476
81,63,18,5,15,0,0,0,1965
42,21,21,3,27,1,0,0,42
45,23,22,3,59,0,0,0,1107
3,2,1,1,142,0,0,0,362
69,35,34,6,57,1,0,0.000561167227833895,1782
144,100,44,6,27,2,0,0,370
184,110,74,9,9,2,0,0.00184459303666129,4337
1386,1005,381,21,2,9,0,0.00059206631142688,6756
19,9,10,4,59,1,0,0,531
252,154,98,12,11,4,0,0,1303
128,63,65,5,16,1,0,0.000435540069686411,2296
81,74,7,2,59,1,0,0.00219298245614035,456
503,322,181,6,59,2,0,0.000966183574879227,2070
24,23,1,1,124,1,0,0,433
588,348,240,15,27,6,0,0.000891662951404369,2243
864,596,268,8,59,4,0,0.00240269101393561,2081
10,5,5,2,152,1,0,0,151
34,24,10,3,59,0,0,0.00194836824159766,2053
137,76,61,4,59,1,0,0,367
9,3,6,2,141,0,0,0.00150829562594268,663
26,12,14,3,93,1,0,0.00574712643678161,348
161,104,57,3,59,1,0,0,410
3,1,2,1,141,0,0,0,137
6,3,3,2,141,0,0,0,971
13,5,8,3,44,0,0,0,813
163,68,95,6,59,2,0,0.000772200772200772,1295
45,22,23,2,59,0,0,0.0017825311942959,561
9,5,4,3,59,1,0,0.00294117647058824,340
118,65,53,7,59,3,0,0,376
6,1,5,1,141,0,0,0,231
142,69,73,8,27,2,0,0.00178970917225951,2235
12,6,6,3,141,0,0,0.000936329588014981,1068
134,82,52,7,59,3,0,0.00522466039707419,957
72,35,37,4,20,1,0,0,1373
10,4,6,2,141,0,0,0.00344827586206897,290
1018,621,397,7,57,0,0,0.000898203592814371,3340
214,129,85,6,27,1,0,0.00204220558202859,1469
86,64,22,4,57,1,0,0,319
46,31,15,5,59,0,0,0.00497100248550124,1207
66,42,24,6,57,1,0,0,1549
294,220,74,10,59,3,0,0.00158102766798419,1265
7,5,2,1,106,0,0,0,76
67,43,24,4,59,0,0,0.000931098696461825,1074
34,21,13,3,59,0,0,0,365
57,25,32,11,44,3,0,0.00879120879120879,455
113,51,62,14,59,3,0,0.00628930817610063,795
39,23,16,5,59,0,0,0,490
